# util_output: detail

# resource	operation	var	loadBucket	startBucket	bktLength	rate	load
1353_G79-x-1353_G79	00790908_1353_M-at-1353-187254	OP153914T005	2017-07-01	2017-07-01	 15	 0.2285714	 216.4571228
1353_G79-x-1353_G79	54400908_1353_M-at-1353-187260	OP215437T005	2017-07-01	2017-07-01	 15	 0.2285714	 37.48571014
1353_G79-x-1353_G79	00790908_1353_M-at-1353-187254	OP153914T006	2017-07-16	2017-07-16	 16	 0.2285714	 235.88568115
1353_G79-x-1353_G79	54400908_1353_M-at-1353-187260	OP215437T006	2017-07-16	2017-07-16	 16	 0.2285714	 38.85713959
1353_G79-x-1353_G79	00790908_1353_M-at-1353-187254	OP153914T007	2017-08-01	2017-08-01	 15	 0.2285714	 187.65711975
1353_G79-x-1353_G79	54400908_1353_M-at-1353-187260	OP215437T007	2017-08-01	2017-08-01	 15	 0.2285714	 38.3999939
1353_G79-x-1353_G79	00790908_1353_M-at-1353-187254	OP153914T008	2017-08-16	2017-08-16	 16	 0.2285714	 218.51425171
1353_G79-x-1353_G79	54400908_1353_M-at-1353-187260	OP215437T008	2017-08-16	2017-08-16	 16	 0.2285714	 43.88570786

1361_CAP-x-1361_CAP	00790908_1361_M-at-1361-187721	OP053220T001	2017-05-01	2017-05-01	 15	 2000	 2672000
1361_CAP-x-1361_CAP	00790908_1361_M-at-1361-187721	OP053220T002	2017-05-16	2017-05-16	 16	 2000	 1618000
1361_CAP-x-1361_CAP	00790908_1361_M-at-1361-187721	OP053220T003	2017-06-01	2017-06-01	 15	 2000	 1286000
1361_CAP-x-1361_CAP	54400908_1361_M-at-1361-187727	OP113512T003	2017-06-01	2017-06-01	 15	 2000	 542000
1361_CAP-x-1361_CAP	00790908_1361_M-at-1361-187721	OP053220T004	2017-06-16	2017-06-16	 15	 2000	 1014000
1361_CAP-x-1361_CAP	54400908_1361_M-at-1361-187727	OP113512T004	2017-06-16	2017-06-16	 15	 2000	 250000
1361_CAP-x-1361_CAP	00790908_1361_M-at-1361-187721	OP053220T005	2017-07-01	2017-07-01	 15	 2000	 1160000
1361_CAP-x-1361_CAP	54400908_1361_M-at-1361-187727	OP113512T005	2017-07-01	2017-07-01	 15	 2000	 302000
1361_CAP-x-1361_CAP	00790908_1361_M-at-1361-187721	OP053220T006	2017-07-16	2017-07-16	 16	 2000	 1364000
1361_CAP-x-1361_CAP	54400908_1361_M-at-1361-187727	OP113512T006	2017-07-16	2017-07-16	 16	 2000	 324000
1361_CAP-x-1361_CAP	00790908_1361_M-at-1361-187721	OP053220T007	2017-08-01	2017-08-01	 15	 2000	 956000
1361_CAP-x-1361_CAP	54400908_1361_M-at-1361-187727	OP113512T007	2017-08-01	2017-08-01	 15	 2000	 284000
1361_CAP-x-1361_CAP	00790908_1361_M-at-1361-187721	OP053220T008	2017-08-16	2017-08-16	 16	 2000	 1508000
1361_CAP-x-1361_CAP	54400908_1361_M-at-1361-187727	OP113512T008	2017-08-16	2017-08-16	 16	 2000	 332000

1359_1359_ATTCAP-x-1359_1359_ATTCAP	00790908_1359_M-at-1359-187701	OP417224T001	2017-05-01	2017-05-01	 15	 2000	 2600000
1359_1359_ATTCAP-x-1359_1359_ATTCAP	00790908_1359_M-at-1359-187701	OP417224T002	2017-05-16	2017-05-16	 16	 2000	 2800000
1359_1359_ATTCAP-x-1359_1359_ATTCAP	00790908_1359_M-at-1359-187701	OP417224T003	2017-06-01	2017-06-01	 15	 2000	 1792000
1359_1359_ATTCAP-x-1359_1359_ATTCAP	54400908_1359_M-at-1359-187705	OP477629T003	2017-06-01	2017-06-01	 15	 2000	 708000
1359_1359_ATTCAP-x-1359_1359_ATTCAP	00790908_1359_M-at-1359-187701	OP417224T004	2017-06-16	2017-06-16	 15	 2000	 2246000
1359_1359_ATTCAP-x-1359_1359_ATTCAP	54400908_1359_M-at-1359-187705	OP477629T004	2017-06-16	2017-06-16	 15	 2000	 254000
1359_1359_ATTCAP-x-1359_1359_ATTCAP	00790908_1359_M-at-1359-187701	OP417224T005	2017-07-01	2017-07-01	 15	 2000	 2294000
1359_1359_ATTCAP-x-1359_1359_ATTCAP	54400908_1359_M-at-1359-187705	OP477629T005	2017-07-01	2017-07-01	 15	 2000	 206000
1359_1359_ATTCAP-x-1359_1359_ATTCAP	00790908_1359_M-at-1359-187701	OP417224T006	2017-07-16	2017-07-16	 16	 2000	 2290000
1359_1359_ATTCAP-x-1359_1359_ATTCAP	54400908_1359_M-at-1359-187705	OP477629T006	2017-07-16	2017-07-16	 16	 2000	 210000
1359_1359_ATTCAP-x-1359_1359_ATTCAP	00790908_1359_M-at-1359-187701	OP417224T007	2017-08-01	2017-08-01	 15	 2000	 2242000
1359_1359_ATTCAP-x-1359_1359_ATTCAP	54400908_1359_M-at-1359-187705	OP477629T007	2017-08-01	2017-08-01	 15	 2000	 158000
1359_1359_ATTCAP-x-1359_1359_ATTCAP	00790908_1359_M-at-1359-187701	OP417224T008	2017-08-16	2017-08-16	 16	 2000	 2578000
1359_1359_ATTCAP-x-1359_1359_ATTCAP	54400908_1359_M-at-1359-187705	OP477629T008	2017-08-16	2017-08-16	 16	 2000	 22000

1356_CAP-x-1356_CAP	00790908_1356_M-at-1356-187266	OP335801T001	2017-05-01	2017-05-01	 15	 2000	 532000
1356_CAP-x-1356_CAP	00790908_1356_M-at-1356-187266	OP335801T002	2017-05-16	2017-05-16	 16	 2000	 148000
1356_CAP-x-1356_CAP	00790908_1356_M-at-1356-187266	OP335801T003	2017-06-01	2017-06-01	 15	 2000	 138000
1356_CAP-x-1356_CAP	00790908_1356_M-at-1356-187266	OP335801T004	2017-06-16	2017-06-16	 15	 2000	 148000
1356_CAP-x-1356_CAP	00790908_1356_M-at-1356-187266	OP335801T005	2017-07-01	2017-07-01	 15	 2000	 140000
1356_CAP-x-1356_CAP	00790908_1356_M-at-1356-187266	OP335801T006	2017-07-16	2017-07-16	 16	 2000	 138000
1356_CAP-x-1356_CAP	00790908_1356_M-at-1356-187266	OP335801T007	2017-08-01	2017-08-01	 15	 2000	 120000
1356_CAP-x-1356_CAP	00790908_1356_M-at-1356-187266	OP335801T008	2017-08-16	2017-08-16	 16	 2000	 176000

1361_1361_ATTCAP-x-1361_1361_ATTCAP	00790908_1361_M-at-1361-187721	OP053220T001	2017-05-01	2017-05-01	 15	 2000	 2672000
1361_1361_ATTCAP-x-1361_1361_ATTCAP	00790908_1361_M-at-1361-187721	OP053220T002	2017-05-16	2017-05-16	 16	 2000	 1618000
